bhk,type,area,price,price_unit,,
3,Apartment,685,2.5,Cr,,
2,Apartment,640,52.51,L,,10000000
2,Apartment,610,1.73,Cr,,
2,Apartment,876,59.98,L,,
2,Apartment,659,94.11,L,,
2,Apartment,826,3.3,Cr,,
5,Villa,2921,1.99,Cr,,
3,Apartment,778,2.89,Cr,,
1,Apartment,396,29.84,L,,
2,Apartment,671,2.72,Cr,,
1,Studio Apartment,502,16.56,L,,
2,Apartment,950,41.75,L,,
3,Apartment,753,1.77,Cr,,
2,Apartment,605,1.55,Cr,,
1,Apartment,557,58.5,L,,
2,Apartment,635,83,L,,
1,Apartment,450,1.39,Cr,,
3,Apartment,1259,2.8,Cr,,
2,Apartment,555,1.42,Cr,,
3,Apartment,1274,4.2,Cr,,
2,Apartment,582,1.49,Cr,,
1,Apartment,483,37.52,L,,
1,Apartment,320,69.9,L,,
1,Apartment,396,42.99,L,,
2,Apartment,638,1.26,Cr,,
2,Apartment,1047,49.58,L,,
2,Apartment,1080,57.24,L,,
2,Apartment,555,1.31,Cr,,
1,Apartment,261,47.5,L,,
2,Apartment,594,34.5,L,,
1,Apartment,445,34.14,L,,
1,Apartment,409,32,L,,
4,Apartment,1874,2.7,Cr,,
1,Apartment,450,54.99,L,,
3,Apartment,859,1.37,Cr,,
2,Apartment,720,1.31,Cr,,
1,Apartment,404,58,L,,
2,Apartment,604,1.44,Cr,,
3,Apartment,1116,2.85,Cr,,
1,Independent House,701,30.99,L,,
3,Apartment,902,2.59,Cr,,
2,Apartment,990,45.45,L,,
1,Apartment,313,27.56,L,,
1,Apartment,409,30.15,L,,
2,Apartment,560,1.32,Cr,,
1,Apartment,448,1.34,Cr,,
1,Apartment,386,27.96,L,,
2,Apartment,539,46.21,L,,
3,Apartment,1625,1.45,Cr,,
3,Apartment,685,2.5,Cr,,
2,Apartment,640,52.51,L,,
2,Apartment,610,1.73,Cr,,
2,Apartment,876,59.98,L,,
2,Apartment,659,94.11,L,,
2,Apartment,826,3.3,Cr,,
5,Villa,2921,1.99,Cr,,
3,Apartment,778,2.89,Cr,,
1,Apartment,396,29.84,L,,
2,Apartment,739,2.95,Cr,,
1,Apartment,635,20.95,L,,
2,Apartment,950,41.75,L,,
3,Apartment,753,1.77,Cr,,
2,Apartment,605,1.55,Cr,,
1,Apartment,477,51,L,,
2,Apartment,635,83,L,,
1,Apartment,450,1.39,Cr,,
1,Apartment,651,20,L,,
1,Apartment,650,20,L,,
1,Apartment,560,25,L,,
1,Apartment,651,20,L,,
1,Apartment,400,79.8,L,,
1,Apartment,530,22.79,L,,
2,Apartment,920,65,L,,
1,Apartment,550,25,L,,
1,Apartment,650,20,L,,
1,Apartment,651,20,L,,
4,Apartment,1500,5.6,Cr,,
1,Apartment,650,20,L,,
1,Apartment,520,25,L,,
1,Apartment,651,20,L,,
1,Apartment,453,85,L,,
1,Apartment,650,1,Cr,,
1,Apartment,651,20,L,,
1,Apartment,651,20,L,,
1,Apartment,650,20,L,,
2,Apartment,920,1.1,Cr,,
1,Apartment,650,20,L,,
1,Apartment,570,55,L,,
1,Apartment,651,20,L,,
1,Apartment,750,45,L,,
2,Apartment,500,10,L,,
1,Apartment,651,20,L,,
1,Apartment,677,30,L,,
1,Apartment,650,35,L,,
1,Apartment,651,20,L,,
3,Apartment,1015,2.45,Cr,,
3,Apartment,1116,2.85,Cr,,
3,Apartment,1116,2.85,Cr,,
3,Apartment,1056,2.45,Cr,,
